"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Haskell lower 6767351364170471262, 778196072107590298"
"Haskell lower 5817759618852724997, -7438251504837849888"
"Equal 1366007977934146557, 413719527973758169"
"Haskell lower -2701061840257746031, -7042963923118313934"
"Haskell lower -2813323796040779021, 7087346260777939867"
"Haskell lower -1211966674200555649, -5179188129232235685"
"Haskell lower 5867607612145784082, 3509290407065229439"
"Haskell lower -3281567252559891724, 4978756916996716343"
"Haskell lower 1389961029529534081, 4453119297583190169"
"Equal 951043981208954056, 2255618336823670662"
"Haskell lower -2859967345050180931, 535052610214237416"
"Haskell lower 4263785867101152003, 5056168770902509689"
"Haskell lower 2169727369715264011, -6443413447952187599"
"Equal -3551463839412222630, -7752199695040372606"
"Haskell lower 7527477311634521100, 6368409050258265426"
"Equal -1149585504142994068, -479305249478527416"
"Equal 2062723068171101658, 841959730913925931"
"Haskell lower 4568661536461101671, -7104175466380548081"
"Haskell lower -7307008024324170462, 5382834509190637785"
"Haskell lower -1228318821937160843, 8217710462026929576"
"Equal -7215953442152250695, 7525703288526576536"
"Equal 5093564482144191701, -8631352740857327997"
"Haskell lower -7159433587954864202, -2641107814171408358"
"Haskell lower 1885483360559653796, -2407481650902408589"
"Haskell lower -7576765327369878371, 831881935351503927"
"Equal -3998768853226341109, -5137729901227912183"
"Equal -3555287727692165681, -6188997849144406933"
"Haskell lower -2821174248516781213, -1320154854502227569"
"Equal -2744215851243274867, -6126792192984969872"
"Haskell lower -3155318161086319711, 8994236459619448959"
"Haskell lower 1772134179200278567, -5788203507129782891"
"Haskell lower 8629888056703626457, -3654612038892405312"
"Haskell lower -2476756829937755693, -6154610605440932223"
"Haskell lower -585268136979882309, -4925178679141341521"
"Haskell lower 5592449657237495653, 3372562516079393527"
"Equal 6222227447804860958, -2493189015679479824"
"Haskell lower -2715433554577547453, -4666183477737069190"
